"Connection
Origin",,"Connection
Termination",,"Data
Type","Article
Reported
Value","Article
Selected
Value?","Selected
Value
Date","Site Size
Relative
To Region","Site
Extension","Extended
Regions","Pathway
Tracer","Male or
Female","Primary
Collator","Additional
Collator",Reference Article,"Regional
Nomenclature
Applied","Additional
Annotations"
one,MOB,one,DG,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,DG,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,CA3,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,CA3,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,CA2,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,CA2,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,CA1v,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,CA1v,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,CA1d,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,CA1d,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,SUBv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,SUBv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,SUBd,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,SUBd,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,PAR,retro,absent,yes,08 2016,medium,no,,Fast Blue,male,"Swanson, L.W.",,van Groen & Wyss (1990) Brain Res. 518:227-243.,other,See Fig. 9 & pp. 236-238.
one,MOB,two,PAR,retro,absent,yes,08 2016,medium,no,,Fast Blue,male,"Swanson, L.W.",,van Groen & Wyss (1990) Brain Res. 518:227-243.,other,See Fig. 9 & pp. 236-238.
one,MOB,one,PRE,retro,absent,yes,08 2016,medium,no,,Fast Blue,male,"Swanson, L.W.",,van Groen & Wyss (1990) Brain Res. 518:227-243.,other,See p. 232.
one,MOB,two,PRE,retro,absent,yes,08 2016,medium,no,,Fast Blue,male,"Swanson, L.W.",,van Groen & Wyss (1990) Brain Res. 518:227-243.,other,See p. 232.
one,MOB,one,POST,retro,absent,yes,08 2016,medium,no,,Fluoro-Gold,male,"Swanson, L.W.",,van Groen & Wyss (1990) Brain Res. 529:165-177.,other,See p. 173 & Fig. 5.
one,MOB,two,POST,retro,absent,yes,08 2016,medium,no,,Fluoro-Gold,male,"Swanson, L.W.",,van Groen & Wyss (1990) Brain Res. 529:165-177.,other,See p. 173 & Fig. 5.
one,MOB,one,ENTm,antero,weak,yes,03 2016,medium,small,AOB,ARGM (autoradiographic),male,"Swanson, L.W.",,Kosel et al. (1981) J. Comp. Neurol. 198:467-482.,other,Input to ENTm is weaker than to ENTl; also see Schwab & Price (1978) Fig. 1.
one,MOB,two,ENTm,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ENTl,antero,weak-mod,yes,03 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Fig. 1 for comparison with other terminal fields.
one,MOB,two,ENTl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ILA,antero,weak,yes,03 2016,large,no,,WGA-HRP,male,"Swanson, L.W.",,Neafsey et al. (1986) Brain Res. 377:261-270.,other,"See p. 265. Confirms anterograde HRP study of Haberly & Price (1978) J. Comp. Neurol. 181:781- 807 (see p. 805), whose dorsal peduncular cortex is considered by Swanson (2004) to be the ventral most part of the ILA and adjacent dorsomedial end of PIR."
one,MOB,two,ILA,antero,absent,yes,03 2016,unreported,unreported,unclear,HRP,unreported,"Swanson, L.W.",,Haberly & Price (1978) J. Comp. Neurol. 181:781-808.,other,No mention of commissural projection; there are no known commissural connections of the MOB in mammals; see Fig. 27g.
one,MOB,one,PL,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,PL,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ACAv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,ACAv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ACAd,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,ACAd,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,RSPv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,RSPv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,RSPv.a,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,RSPv.a,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,RSPv.b/c,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,RSPv.b/c,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,RSPd,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,RSPd,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,RSPagl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,RSPagl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,AIv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,AIv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,AId,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,AId,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,AIp,retro,weak,yes,05 2016,medium,small-med,GU,True Blue,unreported,"Swanson, L.W.",,Krushel & van der Kooy (1988) J. Comp. Neurol. 270:39-54.,other,See Fig. 2 & p. 50; confirmed with anterograde WGA-HRP labeling from OB.
one,MOB,two,AIp,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,GU,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,GU,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,VISC,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,VISC,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ORBv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,ORBv,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ORBvl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,ORBvl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ORBm,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,ORBm,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,ORBl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,ORBl,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,MOp,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,MOp,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,MOs,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,MOs,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
one,MOB,one,SSp,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Schwob & Price (1978) Brain Res. 151:369-374.,other,See Figs. 1 & 2(P-9) for comparison with other terminal fields (no terminal field if not shown).
one,MOB,two,SSp,antero,absent,yes,08 2016,medium,no,,ARGM (autoradiographic),unreported,"Swanson, L.W.",,Price (1973) J. Comp. Neurol. 150:87-108.,other,"Not reported (observed). Confirms Fink-Heimer degeneration method (Heimer, 1968, see pp. 426-427). No commissural projections from the MOB have been reported in mammals (see Shipley et al., 2004, p. 937)."
